Gene,logFC,AveExpr,P.Value,adj.P.Val,B
RAB26,3.192721799707171,6.8093681597130855,7.0519779990286e-25,5.879395856419559e-23,24.151689051295488
ACBD7,2.2939851391252333,8.407921203157287,7.047813164822187e-25,5.879395856419559e-23,24.151945617445364
CHEK1,2.120972039046365,8.713861822050363,8.178634238363507e-25,6.789323999855292e-23,24.087319213720416
PGD,1.5378631511057907,12.466629182080766,8.686821014223736e-25,7.180235446907079e-23,24.061139126724125
AL159163.1,2.8741554294866236,0.38877083891540704,1.0535060594686607e-24,8.670715042438862e-23,23.977362962109765
LAMA1,2.8222693247661432,9.893254247566846,1.1767962956827648e-24,9.644221216406114e-23,23.929298707349755
GMIP,1.4616657590267168,9.496815620920394,1.1860560757912923e-24,9.67892117104428e-23,23.92589477738743
ZNF670-ZNF695,2.975467515973754,2.851746923853491,1.269961192073292e-24,1.0319908269257186e-22,23.89620955016683
AGMAT,1.8907685510356849,7.488555616345329,1.5121086433938304e-24,1.223600855593352e-22,23.8204170041183
LIPG,2.772459076526637,8.714058145941753,1.5640579372213315e-24,1.2603427536797333e-22,23.805747163456807
GPR35,1.802026051875933,8.108296543883693,1.5873291266419094e-24,1.273765485416522e-22,23.799333014603317
MESP1,4.318768682727638,7.903881851759959,1.671127755106873e-24,1.3354460346723346e-22,23.776990347702608
KIF4A,2.8042083241661873,9.154810598260648,1.7335624584407296e-24,1.3796148507070254e-22,23.761060506550127
PCCB,1.23499040475223,10.5079167013976,1.9059355055895956e-24,1.5105519301296305e-22,23.71989179941671
TPI1,1.3411328866430359,14.149629350233083,1.946038360404314e-24,1.5360144583207658e-22,23.710848603149003
WFDC2,2.097768253586455,15.43453344190543,2.1464192662333355e-24,1.687260761158686e-22,23.668285442096614
C1ORF53,1.6138668332521684,6.543501063875805,2.4186152698637987e-24,1.892046162027878e-22,23.61643320954788
EXOSC4,1.3986712414434344,9.982785673913252,2.426581868325904e-24,1.892046162027878e-22,23.615005051819374
GSC,2.257205956943435,5.67574370156943,2.7659027213195612e-24,2.147924214108606e-22,23.5581630983905
SFN,4.159109812517453,11.880508899522454,2.8430306479377794e-24,2.198952901551554e-22,23.546218458579514
ORMDL2,1.182164839997593,8.899172494038508,3.0025417752286076e-24,2.31303808196511e-22,23.522510941418794
C16ORF59,2.659549802482174,8.316357529120165,3.2449066768454665e-24,2.489787158938918e-22,23.488797788944925
ZIC1,6.874948109179322,8.233638355484182,4.035461004844114e-24,3.0840850592179675e-22,23.394106844975727
ULBP3,1.8258772469256568,8.16359320734988,4.281762334460043e-24,3.25688836155411e-22,23.368377442528992
MCM4,1.7859009046327814,11.341855037500613,4.295392511733444e-24,3.25688836155411e-22,23.366997144314432
SLC39A4,1.706176208274481,10.612105478525415,6.579588827837692e-24,4.969266715110827e-22,23.18180124550165
ASPM,3.0319873932734787,8.960514055566268,7.103725808081961e-24,5.344166224134785e-22,23.148513809945545
CENPF,2.897818250424876,10.998238869423249,8.670036790225248e-24,6.497129904394866e-22,23.06197905964514
RMI2,1.814047702879912,8.804697971972418,9.183282014938198e-24,6.855070865337006e-22,23.037002078467406
BUB1B,2.865674442093154,8.722369707115881,1.6391554612528722e-23,1.2188608119022806e-21,22.785379854994183
